date,sku,units_sold,revenue
2026-01-05,RIZ25KG,6,81000
2026-01-07,SUCRE1KG,18,12600
2026-01-09,HUILE5L,5,34000
2026-01-12,BOISSON33,14,4900
2026-01-15,SAVON250,12,3600
2026-01-18,LAIT400,7,16800
2026-01-20,EAU12,8,15200
2026-02-03,RIZ25KG,7,94500
2026-02-04,HUILE5L,6,40800
2026-02-06,SUCRE1KG,20,14000
2026-02-10,BOISSON33,18,6300
2026-02-11,SEMOULE5KG,5,16000
2026-02-13,THEVERT,6,8400
2026-02-19,PILEAA,4,4800
2026-03-02,RIZ25KG,8,108000
2026-03-05,HUILE5L,8,54400
2026-03-07,SUCRE1KG,24,16800
2026-03-08,BOISSON33,20,7000
2026-03-12,LAIT400,9,21600
2026-03-15,SAVON250,16,4800
2026-03-17,EAU12,10,19000
2026-03-22,SEMOULE5KG,7,22400
2026-04-03,RIZ25KG,9,121500
2026-04-04,HUILE5L,9,61200
2026-04-06,SUCRE1KG,26,18200
2026-04-08,BOISSON33,22,7700
2026-04-10,LAIT400,10,24000
2026-04-13,SAVON250,18,5400
2026-04-16,THEVERT,7,9800
2026-04-18,PILEAA,5,6000
2026-04-21,EAU12,11,20900
2026-05-02,RIZ25KG,10,135000
2026-05-04,HUILE5L,10,68000
2026-05-06,SUCRE1KG,28,19600
2026-05-08,BOISSON33,24,8400
2026-05-10,LAIT400,11,26400
2026-05-13,SAVON250,20,6000
2026-05-15,SEMOULE5KG,8,25600
2026-05-17,EAU12,12,22800
2026-05-19,THEVERT,8,11200
